Panel,Efficiency,Degradation,Power(W),solar_irradiance,temperature,humidity,wind_speed,cloud_cover,panel_age,panel_tilt_angle,latitude,longitude,output_category
Panel_A,12.77,0.56,280,885.2660173,28.53215454,56.15093054,4.883605785,97.52162913,5,10,32.74088307,-121.0394478,medium
Panel_C,10.61,0.25,246,958.6860542,37.95770068,67.43967365,7.607690118,51.46504815,20,50,48.94504976,-81.85161847,low
Panel_A,13.95,0.82,399,670.0091011,34.93364394,50.93221222,10.65285232,21.95223158,18,30,32.46263484,-110.6073402,low
Panel_C,13.21,0.72,394,692.5248408,12.13329986,80.19876665,7.712512222,36.04632355,22,10,32.27788097,-91.8443934,medium
Panel_B,12.27,0.33,291,200.40419,14.79713817,38.21397281,12.44792351,41.01475118,19,10,36.85566075,-83.41105869,low
Panel_C,17.57,0.57,378,916.9321071,24.11655481,64.92327624,1.98067138,94.43439343,15,10,30.66124261,-104.5770244,medium
Panel_B,17.6,0.86,361,407.1224698,20.2052934,46.41685399,13.72400646,27.12808179,6,10,39.31588842,-113.9889031,medium
Panel_B,11.92,0.17,307,759.7928753,28.87816604,35.20307444,0.865599048,48.27440342,23,10,43.67049265,-112.8754337,medium
Panel_A,17.24,0.29,396,974.3768845,21.82033792,33.54084824,7.032121408,50.30232627,4,50,29.16325765,-100.7430539,medium
Panel_C,14.03,0.21,314,630.2941537,37.90203596,67.5767539,13.17155256,82.90341398,9,10,34.77584819,-111.4320798,low
Panel_A,18.6,0.28,259,941.1014481,30.49445739,59.40385387,5.179595883,19.9439338,19,50,35.21240496,-73.87943845,high
Panel_A,13.56,0.23,249,876.4231507,22.93862996,84.65552637,11.98477719,41.35925379,5,20,35.05311433,-82.48866595,medium
Panel_C,16.67,0.22,239,416.1300499,28.85651521,22.29284779,11.65413956,65.34812862,20,50,30.74111917,-124.5026276,medium
Panel_B,14.2,0.61,371,566.2634779,21.44228372,72.19459172,10.33228998,70.69254591,8,30,29.99713534,-77.94981947,medium
Panel_C,18.82,0.62,260,444.738271,29.40552126,30.5333383,9.787584337,58.22072163,3,20,30.18679844,-81.5786452,medium
Panel_B,15.08,0.38,297,265.2349588,11.84560469,35.4064611,7.302601839,53.93705777,1,40,41.58113614,-89.13011653,low
Panel_A,14.94,0.23,291,318.2391106,14.74443733,61.74990412,10.05320986,31.55720593,23,50,38.27824609,-91.14449112,low
Panel_C,17.84,0.77,291,839.9884865,36.08396783,75.04584959,10.77533902,2.674280774,8,10,47.33309718,-90.91600294,low
Panel_A,12.08,0.26,377,218.375023,22.75868921,20.01971785,11.21060369,4.679561906,18,50,35.5655607,-109.1896361,low
Panel_B,12.75,0.43,391,440.6427278,26.02611889,21.53190932,3.334333786,57.47057175,14,50,39.88877596,-94.08785557,medium
Panel_A,18.2,0.89,282,636.9277615,37.72620352,40.27314765,3.099979374,32.80364747,3,30,28.1794907,-115.219825,low
Panel_C,13.56,0.72,252,540.5915765,33.75431075,55.92353124,0.725909267,82.58761863,8,40,39.70961469,-92.19641521,low
Panel_A,12.65,0.2,370,699.4718834,25.67225525,81.5301727,2.092935562,16.18483105,4,50,35.51368223,-65.07716728,medium
Panel_B,17.35,0.59,305,750.7517499,13.63779123,39.48388276,11.70759532,26.16569453,9,30,48.16779465,-95.69975095,high
Panel_C,15.71,0.92,260,975.1174996,38.9174982,39.92168688,11.13521131,64.22329111,0,10,41.47733655,-94.91003485,low
Panel_C,15.29,0.17,396,201.4476431,29.84767636,56.93433841,12.72907852,66.54108648,12,10,28.38017053,-86.36333519,low
Panel_B,10.38,0.64,332,746.5545205,15.01156212,26.82954977,6.695098328,20.78560255,20,10,42.78241931,-122.7887482,high
Panel_C,16.36,0.97,286,978.9833296,20.45769444,53.76179087,7.824016325,14.82669518,3,30,37.64692659,-83.75387108,high
Panel_B,14.01,0.9,228,972.2116572,38.73290664,88.74285062,8.7024287,44.722563,14,30,46.20827849,-78.37770699,low
Panel_A,16.07,0.12,292,207.074889,20.16459466,50.20426759,10.38236894,21.373928,23,40,28.75104571,-122.2571721,low
Panel_A,14.41,0.46,290,823.6622834,18.33072013,16.60833799,7.948571019,13.71518396,14,40,36.40094793,-93.62962208,high
Panel_A,19.86,1,375,805.9999677,34.2197937,16.07384339,2.775910152,5.521329786,12,20,32.1567103,-94.68734321,high
Panel_C,11.33,0.72,282,736.0607041,21.35557268,38.13420544,8.081452695,32.90370638,18,30,33.42334692,-89.81016238,medium
Panel_B,11.81,0.56,352,243.4099994,24.39574669,72.37842461,6.149980907,16.55175155,17,10,32.02268212,-73.94784075,low
Panel_A,18.42,0.99,209,955.5473878,10.25206346,58.18190972,3.109233425,7.249309819,24,40,42.6314344,-113.8096793,high
Panel_B,19,0.53,383,351.180489,36.71482352,52.9595785,5.993681711,49.86666546,22,20,42.6535748,-80.87490033,low
Panel_B,13.44,0.28,327,273.5234577,12.75447787,44.53113211,6.24984591,29.03264588,2,20,35.32015627,-78.99105169,low
Panel_C,10.42,0.76,363,246.1405316,24.68355555,46.50889421,2.796643507,41.80733627,18,10,47.40505846,-105.7760668,low
Panel_A,14.74,0.18,254,439.2879768,16.12635292,72.68912851,8.019904329,75.11290828,20,40,43.29565705,-70.26060458,medium
Panel_B,19.83,0.75,309,483.8285409,14.22746106,29.88627352,14.29134412,85.63992435,19,50,26.0783068,-109.3202989,medium
Panel_B,15.38,0.96,294,832.834931,38.49692156,65.25532051,11.77342704,91.66943441,17,10,43.41059255,-83.20119392,low
Panel_A,19.63,0.88,254,891.7219229,17.71528336,22.25782369,6.622028075,3.144658967,9,50,31.49867901,-109.4646954,high
Panel_B,17.14,0.21,384,942.1646464,27.97953831,55.0302156,12.43175551,90.13620059,14,20,46.28534279,-117.7743704,medium
Panel_B,18.93,0.19,271,917.9658252,38.19322851,78.03169414,4.029312665,38.99531426,0,10,37.48876867,-104.6690714,low
Panel_A,10.06,0.25,262,481.4917707,27.3272683,77.53571093,7.677432237,82.31623221,18,50,44.29374337,-88.59697987,medium
Panel_C,17.51,0.31,207,392.4432067,32.65970387,81.42023507,1.483308345,30.38204224,6,40,39.13054616,-123.8280187,low
Panel_B,19.41,0.93,300,376.6758842,20.85331631,21.31863613,11.01847142,79.80414937,3,20,36.32492248,-102.3539028,low
Panel_C,14.12,0.11,211,393.8164541,16.72907634,72.57063437,0.536321525,24.67534467,14,40,39.70576562,-104.0833761,low
Panel_C,15.25,0.17,374,670.0690154,31.66263966,10.53137539,5.909717169,35.39670355,1,10,44.53322612,-103.3214779,low
Panel_C,14.59,0.97,291,975.3541246,38.2321973,48.30510118,11.83574746,60.67707706,14,20,30.86961202,-112.473891,low
Panel_B,19.55,0.46,322,462.2786588,11.64948731,85.6706312,7.005332889,28.1312669,12,40,42.88756773,-116.7075327,medium
Panel_B,12.98,0.88,238,310.8982071,26.73492153,59.50866154,14.94585367,54.67171926,0,40,41.08013278,-117.4065052,low
Panel_A,17.53,0.94,376,416.8706159,13.12382069,20.54854093,1.450710327,67.47994617,11,40,29.83423484,-111.260588,medium
Panel_C,14.76,0.33,258,693.3603027,13.54055215,77.70612351,9.510886264,67.14241886,16,20,46.63675847,-91.14197213,medium
Panel_C,13.03,0.58,376,203.7464509,32.66106917,52.80850068,5.963534581,61.49154134,11,50,47.16202812,-111.998929,low
Panel_C,16.5,0.33,263,536.8651536,35.20430518,50.57123224,5.117864834,94.15286443,18,20,43.45957739,-93.02355879,low
Panel_B,15.53,0.6,220,974.7047151,33.60333804,80.63787933,2.779786527,33.93993504,15,50,42.51430085,-71.96191863,low
Panel_A,12.95,0.65,372,394.2506751,26.70069342,40.62911959,3.710270243,35.04768398,21,10,39.6960952,-68.43828283,low
Panel_A,16.9,0.78,388,683.4420939,25.14897369,81.22709687,5.000842369,23.37518651,9,10,33.88226574,-112.5244172,medium
Panel_A,12.97,0.75,360,599.1260071,34.21958289,20.6235119,7.525618704,26.509984,11,20,39.7557679,-101.1010898,low
Panel_A,10.59,0.48,336,339.1011163,14.24491256,34.18178833,2.987197043,33.12461358,2,20,34.13265977,-105.779666,low
Panel_A,11.51,0.94,360,912.3043556,34.83760175,83.78116619,13.42625207,52.32953858,22,10,32.07548803,-81.38368494,low
Panel_C,15.95,0.31,284,273.2329123,32.77288439,14.24048463,6.08902815,40.34971279,8,10,39.53478585,-124.1289141,low
Panel_B,17.75,0.94,237,471.8368631,32.46655625,75.62209709,7.895168176,79.13443374,15,30,42.74452457,-87.0214699,low
Panel_C,18.04,0.17,249,216.7872098,12.6262788,20.29935641,12.58493035,58.01167163,13,10,40.2726019,-89.00569607,low
Panel_A,11.05,0.83,248,332.9631359,38.64092134,67.83787704,11.1344303,67.45991649,22,50,35.01270523,-74.79291759,low
Panel_B,10.07,0.3,211,842.4044458,18.2802619,33.01149318,13.46150168,64.86955565,1,50,42.11677775,-94.84369061,medium
Panel_C,12.63,0.4,331,907.567903,21.34957614,12.47134086,1.147816834,44.57269308,7,40,48.94571059,-109.1750866,medium
Panel_A,15.11,0.77,339,892.3830807,31.97333064,64.21320216,5.99083502,30.122929,15,40,34.69726677,-83.95397607,low
Panel_C,14.57,0.92,317,290.1121306,20.00992537,65.2336524,9.403913271,65.87897456,9,50,33.18558002,-103.700352,low
Panel_A,15.04,0.92,232,602.7429896,23.38949716,41.96162858,2.145285953,15.89587277,1,20,29.18876145,-116.7912407,medium
Panel_B,12.03,0.7,275,429.032172,30.6537607,47.35908626,4.980682412,87.20729584,23,10,47.89901732,-116.155221,low
Panel_B,15.67,0.68,297,941.155092,25.13164276,73.93199449,1.258782277,39.07170178,19,50,47.84853417,-78.34463161,medium
